0	['W6','W6','W7','W7','W8','W9','B5','B5','B6','B9','B9','T3','T5','T8']
1	['W2','W2','W3','W4','W6','W7','B2','B9','T1','T2','T4','T7','T9']
2	['W1','W3','W3','W5','B2','B4','B4','B7','T1','T4','T6','T7','T8']
3	['W1','W3','W4','W8','W8','B4','B5','B6','T3','T6','T6','T7','T9']
0	DRAW	['T5']
0	PLAY	['W8']
3	PENG	['W8','W8','W8']
3	PLAY	['W1']
0	DRAW	['B3']
0	PLAY	['W9']
1	DRAW	['B2']
1	PLAY	['W3']
2	DRAW	['W9']
2	PLAY	['W1']
3	DRAW	['T1']
3	PLAY	['W3']
0	DRAW	['T2']
0	PLAY	['B3']
1	DRAW	['B7']
1	PLAY	['W4']
2	DRAW	['W7']
2	PLAY	['W5']
3	DRAW	['W2']
3	PLAY	['W2']
1	PENG	['W2','W2','W2']
1	PLAY	['W6']
0	PENG	['W6','W6','W6']
0	PLAY	['B6']
1	DRAW	['T8']
1	PLAY	['W7']
0	PENG	['W7','W7','W7']
0	PLAY	['T2']
1	DRAW	['B3']
1	PLAY	['B3']
2	DRAW	['T4']
2	PLAY	['W7']
3	DRAW	['B1']
3	PLAY	['W4']
0	DRAW	['T3']
0	PLAY	['T5']
1	DRAW	['T5']
1	PLAY	['B7']
2	DRAW	['B2']
2	PLAY	['W9']
3	DRAW	['W4']
3	PLAY	['W4']
0	DRAW	['T5']
0	PLAY	['T5']
1	DRAW	['B5']
1	PLAY	['B5']
0	PENG	['B5','B5','B5']
0	PLAY	['T8']
1	DRAW	['B8']
1	PLAY	['B8']
2	DRAW	['B6']
2	PLAY	['W3']
3	DRAW	['B7']
3	PLAY	['B1']
0	DRAW	['W5']
0	PLAY	['T3']
1	DRAW	['T1']
1	PLAY	['B9']
0	PENG	['B9','B9','B9']
0	PLAY	['T3']
1	DRAW	['W9']
1	PLAY	['B2']
2	PENG	['B2','B2','B2']
2	PLAY	['W3']
3	DRAW	['B8']
3	PLAY	['B4']
2	PENG	['B4','B4','B4']
2	PLAY	['B6']
3	DRAW	['T3']
3	PLAY	['B5']
0	DRAW	['B4']
0	PLAY	['W5']
1	DRAW	['B7']
1	PLAY	['W9']
2	DRAW	['W8']
2	PLAY	['W8']
3	DRAW	['B8']
3	PLAY	['B6']
0	DRAW	['B9']
0	BU	['B9','B9','B9','B9']	
0	DRAW	['T2']
0	PLAY	['T2']
1	DRAW	['W1']
1	PLAY	['W1']
2	DRAW	['T9']
2	PLAY	['B7']
3	DRAW	['B3']
3	PLAY	['B3']
0	DRAW	['T5']
0	PLAY	['T5']
1	DRAW	['B1']
1	PLAY	['B1']
2	DRAW	['W5']
2	PLAY	['W5']
3	DRAW	['B8']
3	PLAY	['B7']
0	DRAW	['B1']
0	PLAY	['B1']
1	DRAW	['T7']
1	PLAY	['B2']
2	DRAW	['W6']
2	PLAY	['W6']
3	DRAW	['W9']
3	PLAY	['B8']
0	DRAW	['B3']
0	PLAY	['B3']
1	DRAW	['B6']
1	PLAY	['B6']
2	DRAW	['W5']
2	PLAY	['W5']
3	DRAW	['T6']
3	PLAY	['B8']
0	DRAW	['T4']
0	PLAY	['T4']
2	PENG	['T4','T4','T4']
2	PLAY	['T1']
1	PENG	['T1','T1','T1']
1	PLAY	['B7']
2	DRAW	['T8']
2	PLAY	['T6']
3	ZHI	['T6','T6','T6','T6']	
3	DRAW	['T9']
3	PLAY	['B8']
0	DRAW	['B1']
0	PLAY	['B1']
1	DRAW	['T2']
1	PLAY	['T4']
2	DRAW	['W2']
2	PLAY	['W2']
3	DRAW	['W1']
3	PLAY	['W1']
0	LOSE	[]
0	LOSE	[]
0	LOSE	[]
