0	['W2','W5','W6','W7','W9','B1','B4','B6','B6','T1','T4','T6','T8','T9']
1	['W3','W4','W6','B3','B3','B5','B5','T2','T3','T3','T4','T7','T8']
2	['W4','W4','W4','W6','W7','W8','B2','B4','B5','B7','T2','T3','T6']
3	['W1','W2','W3','W7','B1','B2','B3','B7','B9','B9','T5','T7','T7']
0	DRAW	['T4']
0	PLAY	['W2']
1	DRAW	['B1']
1	PLAY	['W3']
2	DRAW	['T1']
2	PLAY	['W6']
3	DRAW	['B5']
3	PLAY	['W1']
0	DRAW	['T9']
0	PLAY	['W5']
1	DRAW	['B6']
1	PLAY	['W4']
2	ZHI	['W4','W4','W4','W4']	
2	DRAW	['W7']
2	PLAY	['W8']
3	DRAW	['B4']
3	PLAY	['W2']
0	DRAW	['B6']
0	PLAY	['W6']
1	DRAW	['T1']
1	PLAY	['W6']
2	DRAW	['T5']
2	PLAY	['B2']
3	DRAW	['T2']
3	PLAY	['W3']
0	DRAW	['B9']
0	PLAY	['W7']
2	PENG	['W7','W7','W7']
2	PLAY	['B4']
3	DRAW	['W8']
3	PLAY	['W7']
0	DRAW	['W2']
0	PLAY	['W2']
1	DRAW	['T5']
1	PLAY	['B1']
2	DRAW	['B2']
2	PLAY	['B2']
3	DRAW	['W9']
3	PLAY	['W8']
0	DRAW	['T6']
0	PLAY	['W9']
1	DRAW	['T5']
1	PLAY	['B6']
2	DRAW	['B7']
2	PLAY	['B5']
1	PENG	['B5','B5','B5']
1	PLAY	['T1']
2	DRAW	['W5']
2	PLAY	['W5']
3	DRAW	['W8']
3	PLAY	['W8']
0	DRAW	['W9']
0	PLAY	['W9']
1	DRAW	['B1']
1	PLAY	['B1']
2	DRAW	['B9']
2	PLAY	['B9']
3	PENG	['B9','B9','B9']
3	PLAY	['W9']
0	DRAW	['W5']
0	PLAY	['W5']
1	DRAW	['T8']
1	PLAY	['T2']
2	DRAW	['T6']
2	PLAY	['T1']
3	DRAW	['B8']
3	PLAY	['B1']
0	DRAW	['B3']
0	PLAY	['B1']
1	DRAW	['T4']
1	PLAY	['T7']
2	DRAW	['W1']
2	PLAY	['W1']
3	DRAW	['T9']
3	PLAY	['B2']
0	DRAW	['B4']
0	PLAY	['B3']
1	HU	['B3']
2	DRAW	['B7']
2	PLAY	['T2']
3	DRAW	['B2']
3	PLAY	['B2']
0	DRAW	['W5']
0	PLAY	['W5']
2	DRAW	['W2']
2	PLAY	['W2']
3	DRAW	['W9']
3	PLAY	['W9']
0	DRAW	['T7']
0	PLAY	['B9']
2	DRAW	['B8']
2	PLAY	['B8']
3	DRAW	['W1']
3	PLAY	['W1']
0	DRAW	['T2']
0	PLAY	['T1']
2	DRAW	['W8']
2	PLAY	['W8']
3	DRAW	['W3']
3	PLAY	['W3']
0	DRAW	['W6']
0	PLAY	['W6']
2	DRAW	['T1']
2	PLAY	['T1']
3	DRAW	['T8']
3	PLAY	['B3']
0	DRAW	['T3']
0	PLAY	['T2']
2	DRAW	['W1']
2	PLAY	['W1']
3	DRAW	['B8']
3	PLAY	['B4']
0	DRAW	['B8']
0	PLAY	['B8']
3	PENG	['B8','B8','B8']
3	PLAY	['B5']
0	DRAW	['T4']
0	PLAY	['T3']
2	DRAW	['T9']
2	PLAY	['T3']
