0	['W1','W4','W6','W6','B2','B4','B5','B7','B8','B9','B9','T3','T6','T8']
1	['W3','W5','W7','W8','B3','B6','B7','B8','B8','T5','T6','T7','T8']
2	['W1','W1','W2','W3','W5','W7','B1','B4','B6','T2','T2','T7','T9']
3	['W2','W2','W7','W9','B1','B1','B3','T1','T3','T5','T5','T5','T6']
0	DRAW	['T8']
0	PLAY	['W1']
2	PENG	['W1','W1','W1']
2	PLAY	['W2']
3	PENG	['W2','W2','W2']
3	PLAY	['W7']
0	DRAW	['W5']
0	PLAY	['W4']
1	DRAW	['B6']
1	PLAY	['W3']
2	DRAW	['W3']
2	PLAY	['W5']
3	DRAW	['B2']
3	PLAY	['W9']
0	DRAW	['T4']
0	PLAY	['W5']
1	DRAW	['B5']
1	PLAY	['W5']
2	DRAW	['W6']
2	PLAY	['W6']
0	PENG	['W6','W6','W6']
0	PLAY	['B2']
1	DRAW	['B6']
1	PLAY	['W7']
2	DRAW	['T8']
2	PLAY	['W7']
3	DRAW	['T2']
3	PLAY	['B2']
0	DRAW	['T8']
0	PLAY	['B4']
1	DRAW	['T9']
1	PLAY	['W8']
2	DRAW	['T6']
2	PLAY	['B1']
3	DRAW	['W5']
3	PLAY	['W5']
0	DRAW	['B1']
0	PLAY	['B1']
1	DRAW	['W3']
1	PLAY	['W3']
2	PENG	['W3','W3','W3']
2	PLAY	['B4']
3	DRAW	['T4']
3	PLAY	['B3']
0	DRAW	['W8']
0	PLAY	['W8']
1	DRAW	['W2']
1	PLAY	['W2']
2	DRAW	['B5']
2	PLAY	['B5']
3	DRAW	['W8']
3	PLAY	['B1']
0	DRAW	['B2']
0	PLAY	['B2']
1	DRAW	['B8']
1	PLAY	['B3']
2	DRAW	['B5']
2	PLAY	['B5']
3	DRAW	['W6']
3	PLAY	['B1']
0	DRAW	['W1']
0	PLAY	['W1']
1	DRAW	['T7']
1	HU	['T7']
2	DRAW	['W7']
2	PLAY	['B6']
3	DRAW	['T3']
3	PLAY	['W6']
0	DRAW	['B4']
0	PLAY	['B4']
2	DRAW	['W4']
2	PLAY	['W4']
3	DRAW	['T1']
3	PLAY	['W8']
0	DRAW	['B7']
0	PLAY	['B5']
2	DRAW	['B9']
2	PLAY	['B9']
0	PENG	['B9','B9','B9']
0	PLAY	['B8']
2	DRAW	['B3']
2	PLAY	['B3']
3	DRAW	['T7']
3	PLAY	['T2']
2	PENG	['T2','T2','T2']
2	PLAY	['W7']
3	DRAW	['T3']
3	PLAY	['T4']
0	DRAW	['B2']
0	PLAY	['B2']
2	DRAW	['B3']
2	PLAY	['B3']
3	DRAW	['T9']
3	PLAY	['T6']
0	DRAW	['B7']
0	PLAY	['T3']
3	ZHI	['T3','T3','T3','T3']	
3	DRAW	['T4']
3	PLAY	['T4']
0	DRAW	['W9']
0	PLAY	['W9']
2	DRAW	['W4']
2	PLAY	['W4']
3	DRAW	['T4']
3	PLAY	['T4']
0	DRAW	['T9']
0	PLAY	['T4']
2	DRAW	['T1']
2	PLAY	['T1']
3	PENG	['T1','T1','T1']
3	PLAY	['T7']
0	DRAW	['B4']
0	PLAY	['B4']
2	DRAW	['T1']
2	PLAY	['T1']
3	DRAW	['B9']
3	PLAY	['B9']
0	DRAW	['W8']
0	PLAY	['W8']
2	DRAW	['W9']
2	PLAY	['W9']
3	DRAW	['T2']
3	PLAY	['T2']
0	DRAW	['W9']
0	PLAY	['W9']
3	LOSE	[]
3	LOSE	[]
