0	['W2','W4','W7','W9','B3','B4','B4','B4','B6','B9','T3','T5','T8','T9']
1	['W5','W6','W6','W7','W8','W8','B2','T1','T3','T5','T6','T7','T9']
2	['W2','W2','W2','W3','W4','W4','B5','B7','B8','B9','T2','T2','T7']
3	['W3','W5','W6','W7','W8','W9','B1','B2','B5','B8','T1','T7','T8']
0	DRAW	['W7']
0	PLAY	['W2']
2	ZHI	['W2','W2','W2','W2']	
2	DRAW	['T8']
2	PLAY	['W3']
3	DRAW	['T6']
3	PLAY	['W3']
0	DRAW	['T8']
0	PLAY	['W4']
2	PENG	['W4','W4','W4']
2	PLAY	['B5']
3	DRAW	['B7']
3	PLAY	['W5']
0	DRAW	['W1']
0	PLAY	['W1']
1	DRAW	['T4']
1	PLAY	['B2']
2	DRAW	['W5']
2	PLAY	['W5']
3	DRAW	['B6']
3	PLAY	['W6']
1	PENG	['W6','W6','W6']
1	PLAY	['W5']
2	DRAW	['B6']
2	PLAY	['B6']
3	DRAW	['T2']
3	PLAY	['W7']
0	DRAW	['B8']
0	PLAY	['W7']
1	DRAW	['B6']
1	PLAY	['B6']
2	DRAW	['B9']
2	PLAY	['B7']
3	DRAW	['W9']
3	PLAY	['W8']
1	PENG	['W8','W8','W8']
1	PLAY	['W7']
2	DRAW	['T9']
2	PLAY	['B8']
3	DRAW	['T4']
3	PLAY	['B1']
0	DRAW	['W1']
0	PLAY	['W1']
1	DRAW	['T5']
1	PLAY	['T1']
2	DRAW	['T5']
2	PLAY	['T5']
1	PENG	['T5','T5','T5']
1	PLAY	['T3']
2	DRAW	['T1']
2	PLAY	['T1']
3	DRAW	['T6']
3	PLAY	['B2']
0	DRAW	['W1']
0	PLAY	['W1']
1	DRAW	['B8']
1	PLAY	['B8']
2	DRAW	['W9']
2	PLAY	['W9']
3	PENG	['W9','W9','W9']
3	PLAY	['B5']
0	DRAW	['B3']
0	PLAY	['W9']
1	DRAW	['B3']
1	PLAY	['B3']
0	PENG	['B3','B3','B3']
0	PLAY	['B6']
1	DRAW	['T4']
1	PLAY	['T6']
2	DRAW	['T3']
2	PLAY	['T3']
3	DRAW	['B7']
3	PLAY	['B6']
0	DRAW	['W1']
0	PLAY	['W1']
1	DRAW	['W8']
1	BU	['W8','W8','W8','W8']	
1	DRAW	['B4']
1	PLAY	['B4']
0	ZHI	['B4','B4','B4','B4']	
0	DRAW	['B5']
0	PLAY	['B5']
1	DRAW	['B7']
1	PLAY	['B7']
3	PENG	['B7','B7','B7']
3	PLAY	['B8']
0	DRAW	['T2']
0	PLAY	['B8']
1	DRAW	['T6']
1	PLAY	['T6']
2	DRAW	['B9']
2	PLAY	['T7']
3	DRAW	['W7']
3	PLAY	['W7']
0	DRAW	['B5']
0	PLAY	['B5']
1	DRAW	['W5']
1	PLAY	['W5']
2	DRAW	['T3']
2	PLAY	['T3']
3	DRAW	['T4']
3	PLAY	['T1']
0	DRAW	['B1']
0	PLAY	['B1']
1	DRAW	['T1']
1	PLAY	['T1']
2	DRAW	['W3']
2	PLAY	['W3']
3	DRAW	['W3']
3	PLAY	['W3']
0	DRAW	['B1']
0	PLAY	['B1']
1	DRAW	['B3']
1	PLAY	['B3']
2	DRAW	['B2']
2	PLAY	['B2']
3	DRAW	['W4']
3	PLAY	['W4']
0	DRAW	['B2']
0	PLAY	['B2']
1	DRAW	['T7']
1	PLAY	['T9']
2	DRAW	['B1']
2	PLAY	['B1']
3	DRAW	['W6']
3	PLAY	['W6']
1	LOSE	[]
1	LOSE	[]
1	LOSE	[]
