0	['W1','W2','W5','W6','W9','B2','B3','B4','B6','T1','T2','T4','T4','T6']
1	['W1','W4','W4','W6','W7','W7','B7','B7','B8','B9','T5','T6','T9']
2	['W1','W2','W2','W3','W4','W7','W8','W9','B5','T2','T7','T8','T8']
3	['W3','W5','W7','W8','B1','B2','B3','B8','T4','T7','T7','T8','T9']
0	DRAW	['T4']
0	PLAY	['W1']
1	DRAW	['T4']
1	PLAY	['W1']
2	DRAW	['T6']
2	PLAY	['B5']
3	DRAW	['T2']
3	PLAY	['W3']
0	DRAW	['B8']
0	PLAY	['W2']
2	PENG	['W2','W2','W2']
2	PLAY	['W1']
3	DRAW	['T5']
3	PLAY	['W5']
0	DRAW	['W4']
0	PLAY	['W4']
1	PENG	['W4','W4','W4']
1	PLAY	['W6']
2	DRAW	['B4']
2	PLAY	['B4']
3	DRAW	['B5']
3	PLAY	['W7']
1	PENG	['W7','W7','W7']
1	PLAY	['B8']
2	DRAW	['B5']
2	PLAY	['B5']
3	DRAW	['W3']
3	PLAY	['W3']
0	DRAW	['B8']
0	PLAY	['W5']
1	DRAW	['T6']
1	PLAY	['B9']
2	DRAW	['B1']
2	PLAY	['B1']
3	DRAW	['T3']
3	PLAY	['W8']
0	DRAW	['B6']
0	PLAY	['W6']
1	DRAW	['W9']
1	PLAY	['W9']
2	DRAW	['T2']
2	PLAY	['W3']
3	DRAW	['W2']
3	PLAY	['W2']
0	DRAW	['T3']
0	PLAY	['W9']
1	DRAW	['B6']
1	PLAY	['B6']
2	DRAW	['W1']
2	PLAY	['W1']
3	DRAW	['T1']
3	PLAY	['B1']
0	DRAW	['B9']
0	PLAY	['B2']
1	DRAW	['T8']
1	PLAY	['T4']
0	PENG	['T4','T4','T4']
0	PLAY	['B3']
1	DRAW	['B9']
1	PLAY	['B9']
2	DRAW	['W5']
2	PLAY	['W4']
3	DRAW	['T5']
3	PLAY	['B2']
0	DRAW	['B7']
0	PLAY	['B4']
1	DRAW	['T5']
1	PLAY	['T8']
2	PENG	['T8','T8','T8']
2	PLAY	['W5']
3	DRAW	['W8']
3	PLAY	['W8']
0	DRAW	['W5']
0	PLAY	['W5']
1	DRAW	['B3']
1	PLAY	['B3']
2	DRAW	['B7']
2	PLAY	['B7']
1	PENG	['B7','B7','B7']
1	PLAY	['T9']
2	DRAW	['W6']
2	PLAY	['W6']
3	DRAW	['W8']
3	PLAY	['W8']
0	DRAW	['B3']
0	PLAY	['B3']
1	DRAW	['B5']
1	PLAY	['B5']
2	DRAW	['W6']
2	PLAY	['W6']
3	DRAW	['B1']
3	PLAY	['B1']
0	DRAW	['B6']
0	PLAY	['B7']
1	DRAW	['W9']
1	PLAY	['W9']
2	DRAW	['B2']
2	PLAY	['B2']
3	DRAW	['T9']
3	PLAY	['B3']
0	DRAW	['T3']
0	PLAY	['B9']
1	DRAW	['T3']
1	PLAY	['T3']
0	PENG	['T3','T3','T3']
0	PLAY	['T1']
1	DRAW	['W3']
1	PLAY	['W3']
2	DRAW	['B1']
2	PLAY	['B1']
3	DRAW	['B4']
3	PLAY	['B4']
0	DRAW	['B4']
0	PLAY	['B4']
1	DRAW	['T1']
1	PLAY	['T1']
2	DRAW	['T7']
2	PLAY	['W7']
3	DRAW	['T9']
3	PLAY	['B5']
0	DRAW	['B2']
0	PLAY	['B2']
1	DRAW	['T1']
1	PLAY	['T1']
